rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.84 0.89 0.85 0.88 0.87
1YSV 0.82 0.84 0.81 0.85 0.83
1Z2J 0.84 0.86 0.83 0.86 0.85
1ZC5 0.80 0.86 0.80 0.85 0.83
28SR 0.77 0.89 0.81 0.86 0.84
2FDT 0.91 0.89 0.89 0.91 0.90
2JWV 0.95 0.79 0.86 0.86 0.86
2K66 0.74 0.92 0.79 0.88 0.85
2KOC 0.76 0.89 0.78 0.89 0.85
2L1V 0.71 0.89 0.75 0.86 0.82
2L3E 0.84 0.82 0.81 0.84 0.83
2LBJ 0.89 0.91 0.89 0.91 0.90
2LBL 0.89 0.73 0.80 0.80 0.80
2LDL 0.88 0.84 0.84 0.88 0.86
2LDT 0.68 0.93 0.77 0.85 0.82
2LHP 0.81 0.86 0.81 0.86 0.84
2LI4 0.80 0.98 0.88 0.92 0.90
2LK3 0.86 0.88 0.85 0.89 0.87
2LP9 0.53 0.98 0.68 0.86 0.80
2LPA 0.65 0.89 0.71 0.85 0.80
2LPS 0.95 0.73 0.83 0.83 0.83
2LQZ 0.74 0.98 0.84 0.90 0.88
2LU0 0.89 0.86 0.86 0.88 0.87
2LUB 0.93 0.91 0.91 0.93 0.92
2LUN 0.84 0.86 0.83 0.86 0.85
2LV0 0.80 0.89 0.82 0.87 0.85
2M12 0.84 0.77 0.78 0.81 0.80
2M21 0.81 0.86 0.81 0.86 0.84
2M22 0.86 0.84 0.84 0.86 0.85
2M24 0.80 0.91 0.83 0.88 0.86
2M4W 0.83 0.90 0.84 0.89 0.87
2M5U 0.86 0.82 0.83 0.85 0.84
2M8K 0.84 0.88 0.84 0.88 0.86
2MEQ 0.85 0.82 0.80 0.85 0.83
2MHI 0.77 0.93 0.83 0.88 0.86
2MNC 0.45 0.97 0.60 0.82 0.75
2MXL 0.73 0.95 0.81 0.88 0.85
2N2O 1.00 0.71 0.83 0.83 0.83
2N2P 0.87 0.92 0.87 0.92 0.90
2N4L 0.68 0.95 0.78 0.86 0.83
2N6S 0.82 0.87 0.83 0.86 0.85
2N6T 0.84 0.95 0.88 0.91 0.90
2N6W 0.71 0.93 0.79 0.86 0.83
2N6X 0.82 0.91 0.85 0.89 0.87
2NCI 0.82 0.80 0.79 0.83 0.81
2QH2 0.93 0.84 0.87 0.89 0.88
2QH4 0.81 0.82 0.80 0.84 0.82
2RVO 0.68 0.91 0.76 0.84 0.81
2Y95 0.68 0.80 0.69 0.79 0.75
4A4S 0.63 0.96 0.75 0.86 0.82
4A4T 0.70 0.91 0.77 0.85 0.82
4A4U 0.65 0.95 0.76 0.86 0.82
5A17 0.91 0.75 0.82 0.82 0.82
5A18 0.86 0.86 0.84 0.88 0.86
5IEM 0.73 0.95 0.81 0.88 0.85
5KH8 0.93 0.84 0.87 0.89 0.88
5KMZ 0.70 1.00 0.82 0.91 0.88
5KQE 0.70 0.73 0.69 0.75 0.72
5LSN 0.70 0.91 0.78 0.85 0.82
5LWJ 0.86 0.86 0.84 0.88 0.86
5N5C 0.78 0.93 0.83 0.89 0.87
5UF3 0.93 0.80 0.85 0.87 0.86
5UZT 0.82 0.88 0.83 0.87 0.85
5V16 0.59 0.98 0.73 0.84 0.80
5V17 0.50 0.98 0.66 0.83 0.77
5WQ1 0.84 0.98 0.90 0.93 0.92
6EZ0 0.63 0.96 0.75 0.86 0.82
